contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
BLSH250919C00040000,BLSH,2025-09-19,40.00,call,30.14,30.45,29.50,11,31.40,12,26,0,2025-08-15,1.28802,0.94480,0.00402,-0.04838,0.02402,0.03378
BLSH250919P00040000,BLSH,2025-09-19,40.00,put,0.46,0.47,0.45,8,0.50,112,514,0,2025-08-15,1.15144,-0.04085,0.00354,-0.03066,0.01888,-0.00317
BLSH250919C00045000,BLSH,2025-09-19,45.00,call,25.63,25.95,25.00,2,26.90,11,6,0,2025-08-15,1.20997,0.91309,0.00607,-0.06334,0.03407,0.03600
BLSH250919P00045000,BLSH,2025-09-19,45.00,put,0.90,0.88,0.80,2,0.95,3,376,0,2025-08-15,1.09290,-0.07111,0.00577,-0.04501,0.02927,-0.00556
BLSH250919C00050000,BLSH,2025-09-19,50.00,call,0.00,21.75,20.50,5,23.00,5,0,0,2025-08-15,1.17095,0.86488,0.00862,-0.08281,0.04678,0.03678
BLSH250919P00050000,BLSH,2025-09-19,50.00,put,1.65,1.70,1.60,5,1.80,3,516,0,2025-08-15,1.09290,-0.12380,0.00869,-0.06752,0.04403,-0.00987
BLSH250919C00055000,BLSH,2025-09-19,55.00,call,19.37,17.75,16.10,20,19.40,29,14,0,2025-08-15,1.09290,0.80910,0.01156,-0.09607,0.05860,0.03698
BLSH250919P00055000,BLSH,2025-09-19,55.00,put,2.95,2.98,2.85,1,3.10,2,322,0,2025-08-15,1.09290,-0.19090,0.01156,-0.08958,0.05860,-0.01554
BLSH250919C00060000,BLSH,2025-09-19,60.00,call,14.80,14.45,13.90,18,15.00,20,80,0,2025-08-15,1.09290,0.73154,0.01401,-0.11517,0.07100,0.03494
BLSH250919P00060000,BLSH,2025-09-19,60.00,put,4.70,4.60,4.50,1,4.70,1,607,0,2025-08-15,1.09290,-0.26846,0.01401,-0.10808,0.07100,-0.02235
BLSH250919C00065000,BLSH,2025-09-19,65.00,call,11.95,11.90,11.50,11,12.30,11,69,0,2025-08-15,1.13192,0.64792,0.01523,-0.13318,0.07993,0.03176
BLSH250919P00065000,BLSH,2025-09-19,65.00,put,6.95,6.95,6.90,1,7.00,5,255,0,2025-08-15,1.11241,-0.35187,0.01549,-0.12327,0.07992,-0.03015
BLSH250919C00070000,BLSH,2025-09-19,70.00,call,9.80,10.00,9.70,1,10.30,20,230,0,2025-08-15,1.17095,0.56929,0.01558,-0.14505,0.08461,0.02844
BLSH250919P00070000,BLSH,2025-09-19,70.00,put,9.65,9.65,9.50,16,9.80,1,421,0,2025-08-15,1.11241,-0.43441,0.01643,-0.12995,0.08474,-0.03818
BLSH250919C00075000,BLSH,2025-09-19,75.00,call,7.90,8.15,7.90,2,8.40,21,548,0,2025-08-15,1.19046,0.49623,0.01556,-0.14922,0.08590,0.02526
BLSH250919P00075000,BLSH,2025-09-19,75.00,put,12.90,12.90,12.40,6,13.40,7,263,0,2025-08-15,1.15144,-0.50880,0.01609,-0.13554,0.08589,-0.04637
BLSH250919C00080000,BLSH,2025-09-19,80.00,call,6.60,6.45,6.40,1,6.50,1,280,0,2025-08-15,1.17095,0.42321,0.01553,-0.14377,0.08431,0.02208
BLSH250919P00080000,BLSH,2025-09-19,80.00,put,16.98,16.25,15.60,11,16.90,9,7,0,2025-08-15,1.13192,-0.58421,0.01600,-0.12907,0.08399,-0.05450
BLSH250919C00085000,BLSH,2025-09-19,85.00,call,5.40,5.20,5.10,5,5.30,1,204,0,2025-08-15,1.19046,0.36355,0.01464,-0.13984,0.08083,0.01920
BLSH250919P00085000,BLSH,2025-09-19,85.00,put,20.49,19.90,18.50,20,21.30,13,2,0,2025-08-15,1.13192,-0.65011,0.01519,-0.12124,0.07975,-0.06243
